@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
57,'2021/06/23 01:28:35:406',1,0,0,0.00808,0.01946,0.014292,0.018152,0.005409,0.020388,0.014718,0.006003,0.009446,0.009577,0.012232,0.0087,0.013202,0.009096,0.011424,0.013277,0.008006,0.0094,0.011152,0.012796,0.013382,0.012489,0.010311,0,1,0.32,0,0
58,'2021/06/23 01:28:35:454',1,0,0,0.008362,0.035484,0.026401,0.01417,0.008418,0.01316,0.015201,0.002394,0.012038,0.016631,0.01215,0.012618,0.011162,0.010068,0.009825,0.011718,0.010827,0.007392,0.010187,0.010064,0.009847,0.008591,0.008448,0,1,0.32,0,0
59,'2021/06/23 01:28:35:479',1,0,0,0.006807,0.023737,0.01361,0.029573,0.007924,0.016994,0.013054,0.00353,0.007631,0.010352,0.013227,0.019112,0.009261,0.009697,0.013262,0.012703,0.012656,0.012284,0.011346,0.01386,0.012896,0.011955,0.007807,0,1,0.32,0,0
60,'2021/06/23 01:28:35:512',1,0,0,0.006594,0.025036,0.016765,0.022493,0.0092,0.011673,0.007866,0.005619,0.006166,0.008431,0.010963,0.019002,0.008399,0.009156,0.013298,0.013144,0.01082,0.00936,0.011313,0.012263,0.010511,0.013036,0.010859,0,1,0.32,0,0
61,'2021/06/23 01:28:35:546',1,0,0,0.005886,0.026721,0.010234,0.010607,0.004866,0.013097,0.005625,0.003901,0.004763,0.005234,0.008982,0.015978,0.011337,0.011691,0.012406,0.018159,0.013001,0.008646,0.013697,0.010819,0.01098,0.009262,0.009568,0,1,0.32,0,0
62,'2021/06/23 01:28:35:581',1,0,0,0.00407,0.017915,0.005704,0.008301,0.006444,0.020793,0.010364,0.006617,0.005867,0.007023,0.015179,0.017991,0.014248,0.009313,0.012019,0.016958,0.013024,0.010803,0.013305,0.012256,0.012546,0.009848,0.009927,0,1,0.32,0,0
63,'2021/06/23 01:28:35:612',1,0,0,0.002031,0.023861,0.011979,0.01333,0.021935,0.016257,0.009133,0.009804,0.009998,0.007092,0.009055,0.015854,0.010876,0.009759,0.013479,0.013696,0.010099,0.010124,0.010048,0.011945,0.011328,0.011905,0.008434,0,1,0.32,0,0
64,'2021/06/23 01:28:35:645',1,0,0,0.006817,0.026242,0.010184,0.017881,0.008732,0.018639,0.014564,0.007984,0.005643,0.011871,0.017932,0.015838,0.015241,0.010619,0.01131,0.018012,0.018906,0.015025,0.009468,0.007262,0.009143,0.01176,0.009678,0,1,0.32,0,0
65,'2021/06/23 01:28:35:678',1,0,0,0.006216,0.026274,0.013205,0.007724,0.028949,0.011577,0.008286,0.008502,0.009929,0.007573,0.011657,0.01638,0.01361,0.014702,0.015083,0.013326,0.011174,0.011567,0.009697,0.008999,0.010834,0.009743,0.011695,0,1,0.32,0,0
66,'2021/06/23 01:28:35:713',1,0,0,0.004928,0.022364,0.007782,0.004009,0.043704,0.023438,0.018709,0.004385,0.008931,0.008616,0.022676,0.025874,0.019945,0.017612,0.014696,0.012117,0.012667,0.010171,0.01111,0.008588,0.011076,0.013536,0.009046,0,1,0.32,0,0
